x,y,yaw,v
132.8684,1652.8027,1.9737,11.2031
132.4570,1653.7664,1.9908,11.2208
132.0190,1654.7446,2.0077,11.2338
131.5470,1655.7521,2.0242,11.2490
131.0552,1656.7579,2.0397,11.2640
130.5498,1657.7527,2.0540,11.2798
130.0256,1658.7485,2.0671,11.2983
129.4851,1659.7437,2.0795,11.3220
128.9382,1660.7222,2.0909,11.3507
128.3768,1661.7004,2.1017,11.3841
127.8048,1662.6733,2.1122,11.4211
127.2363,1663.6177,2.1224,11.4603
126.6279,1664.6050,2.1331,11.5009
126.0317,1665.5500,2.1435,11.5426
125.4043,1666.5215,2.1548,11.5846
124.7704,1667.4797,2.1668,11.6263
124.1219,1668.4348,2.1796,11.6674
123.4529,1669.3931,2.1933,11.7080
122.7592,1670.3579,2.2072,11.7477
122.0665,1671.2938,2.2212,11.7859
121.3613,1672.2197,2.2356,11.8230
120.6411,1673.1372,2.2503,11.8583
119.8953,1674.0588,2.2654,11.8916
119.1463,1674.9564,2.2806,11.9149
118.3663,1675.8624,2.2960,11.9354
117.5870,1676.7404,2.3111,11.8705
116.7910,1677.6115,2.3264,11.7894
115.9932,1678.4583,2.3412,11.7102
115.2019,1679.2734,2.3550,11.6220
114.3975,1680.0796,2.3686,11.5252
113.5894,1680.8676,2.3821,11.4268
112.7657,1681.6494,2.3955,11.3297
111.9351,1682.4167,2.4089,11.2380
111.1432,1683.1296,2.4216,11.1538
110.3127,1683.8574,2.4346,11.0779
109.4849,1684.5645,2.4473,11.0107
108.6503,1685.2588,2.4597,10.9558
107.8183,1685.9337,2.4715,10.9276
106.9768,1686.5994,2.4829,10.8945
106.0031,1687.3510,2.4960,10.8446
104.9953,1688.1080,2.5095,10.7945
104.1077,1688.7572,2.5216,10.7722
103.2608,1689.3613,2.5331,10.7428
102.3665,1689.9835,2.5455,10.7137
101.4773,1690.5862,2.5582,10.6912
100.5790,1691.1782,2.5713,10.6698
99.6760,1691.7568,2.5845,10.6423
98.7781,1692.3157,2.5977,10.6152
97.8575,1692.8718,2.6116,10.6089
96.9532,1693.4011,2.6256,10.5928
96.0431,1693.9170,2.6401,10.5665
95.1282,1694.4182,2.6551,10.5598
94.2024,1694.9073,2.6706,10.5525
93.2696,1695.3813,2.6862,10.5448
92.2997,1695.8550,2.7022,10.5375
